,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Rikitea,12,PF,1593530599,62,-23.12,-134.97,68.7,17.74
1,Esperance,75,AU,1593530947,76,-33.87,121.9,55.4,31.09
2,Port Alfred,25,ZA,1593530949,82,-33.59,26.89,60.01,7.99
3,Rochegda,100,RU,1593530950,42,62.8,43.25,64.17,9.86
4,Bonfim,99,BR,1593530951,80,3.08,-59.95,79.93,2.68
5,Bambous Virieux,40,MU,1593530865,78,-20.34,57.76,71.6,2.24
6,Norman Wells,75,CA,1593530954,63,65.28,-126.83,66.2,10.29
7,Barra de Tecoanapa,7,MX,1593530955,53,16.52,-98.75,86.86,2.1
8,Morón,90,AR,1593530911,100,-34.65,-58.62,55.0,6.93
9,Mataura,36,NZ,1593530702,83,-46.19,168.86,39.0,3.0
10,Vaini,75,TO,1593530959,94,-21.2,-175.2,73.4,6.93
11,Yellowknife,5,CA,1593530961,56,62.46,-114.35,71.01,4.7
12,George Town,20,MY,1593530796,78,5.41,100.34,86.0,6.93
13,Port Hardy,90,CA,1593530757,81,50.7,-127.42,53.6,11.41
14,Manado,20,ID,1593530964,94,1.49,124.85,75.2,2.55
15,Along,93,IN,1593530966,88,28.17,94.77,75.38,0.58
16,Shakiso,91,ET,1593530967,78,5.75,38.92,65.7,4.68
17,Jamestown,75,US,1593530968,64,42.1,-79.24,77.0,8.05
18,Padang,16,ID,1593530869,80,-0.95,100.35,79.25,4.54
19,Fethiye,20,TR,1593530971,51,36.62,29.12,86.0,9.17
20,Butaritari,25,KI,1593530972,76,3.07,172.79,81.3,3.04
21,Havelock,40,US,1593530739,49,34.88,-76.9,89.6,3.36
22,San Cristobal,20,VE,1593530839,33,7.77,-72.22,91.4,13.87
23,Bonthe,70,SL,1593530976,76,7.53,-12.51,81.59,10.13
24,Brae,90,GB,1593530872,93,60.4,-1.35,55.4,10.29
25,Khatanga,100,RU,1593530978,62,71.97,102.5,68.05,5.66
